location_code,has_hrp,in_gho,provider_admin1_name,admin1_code,admin1_name,admin_level,mpi,headcount_ratio,intensity_of_deprivation,vulnerable_to_poverty,in_severe_poverty,reference_period_start,reference_period_end
#country+code,#meta+has_hrp,#meta+in_gho,#adm1+name+provider,#adm1+code,#adm1+name,#adm+level,#indicator+mpi,#indicator+headcount_ratio,#indicator+intensity_of_deprivation,#indicator+vulnerable_to_poverty,#indicator+in_severe_poverty,#date+start,#date+end
IND,FALSE,FALSE,Mizoram,,,1,0.0246,5.7504,42.7607,9.1095,1.7597,2019-01-01,2021-12-31
IND,FALSE,FALSE,Nagaland,,,1,0.2944,57.003,51.6416,18.1679,30.4097,2005-01-01,2006-12-31
IND,FALSE,FALSE,Nagaland,,,1,0.098,23.4818,41.735,17.5262,6.2457,2015-01-01,2016-12-31
IND,FALSE,FALSE,Nagaland,,,1,0.066,17.0562,38.706,15.4829,2.8929,2019-01-01,2021-12-31
IND,FALSE,FALSE,Odisha,,,1,0.3359,64.1871,52.3309,15.7417,34.1646,2005-01-01,2006-12-31
IND,FALSE,FALSE,Odisha,,,1,0.1554,35.838,43.3564,19.0567,10.6222,2015-01-01,2016-12-31
IND,FALSE,FALSE,Odisha,,,1,0.0863,20.8,41.5128,19.4307,5.1679,2019-01-01,2021-12-31
IND,FALSE,FALSE,Puducherry,,,1,0.0052,1.4224,36.6496,6.7816,0.0423,2019-01-01,2021-12-31
IND,FALSE,FALSE,Punjab,,,1,0.1083,24.0456,45.0275,19.408,8.9322,2005-01-01,2006-12-31
IND,FALSE,FALSE,Punjab,,,1,0.0249,6.039,41.2986,13.0096,1.4172,2015-01-01,2016-12-31
IND,FALSE,FALSE,Punjab,,,1,0.0188,4.7077,39.9954,12.2023,0.7273,2019-01-01,2021-12-31
IND,FALSE,FALSE,Rajasthan,,,1,0.3312,62.029,53.3983,16.1109,35.2103,2005-01-01,2006-12-31
IND,FALSE,FALSE,Rajasthan,,,1,0.1405,31.0514,45.2544,22.2016,10.9355,2015-01-01,2016-12-31
IND,FALSE,FALSE,Rajasthan,,,1,0.0679,16.5691,41.0065,22.7726,3.6461,2019-01-01,2021-12-31
IND,FALSE,FALSE,Sikkim,,,1,0.1771,37.4824,47.2551,15.8782,15.7152,2005-01-01,2006-12-31
IND,FALSE,FALSE,Sikkim,,,1,0.0184,4.8313,38.1273,12.2008,0.5061,2015-01-01,2016-12-31
IND,FALSE,FALSE,Sikkim,,,1,0.014,3.6746,38.1001,9.6617,0.4811,2019-01-01,2021-12-31
IND,FALSE,FALSE,Tamil Nadu,,,1,0.1562,37.2884,41.8971,21.8691,8.5019,2005-01-01,2006-12-31
IND,FALSE,FALSE,Tamil Nadu,,,1,0.0268,7.1361,37.4933,16.462,0.553,2015-01-01,2016-12-31
IND,FALSE,FALSE,Tamil Nadu,,,1,0.0142,3.8376,36.9201,12.6557,0.2207,2019-01-01,2021-12-31
IND,FALSE,FALSE,Telangana,,,1,0.0265,6.778,39.1221,16.9551,0.8137,2019-01-01,2021-12-31
IND,FALSE,FALSE,Tripura,,,1,0.2655,54.5726,48.6483,19.0309,23.7059,2005-01-01,2006-12-31
IND,FALSE,FALSE,Tripura,,,1,0.0865,20.2643,42.6853,20.4695,5.2868,2015-01-01,2016-12-31
IND,FALSE,FALSE,Tripura,,,1,0.0635,15.7,40.429,20.6966,2.8284,2019-01-01,2021-12-31
IND,FALSE,FALSE,Uttar Pradesh,,,1,0.3611,68.7876,52.4888,14.5043,36.4787,2005-01-01,2006-12-31
IND,FALSE,FALSE,Uttar Pradesh,,,1,0.1821,40.6897,44.748,19.4765,14.0344,2015-01-01,2016-12-31
IND,FALSE,FALSE,Uttar Pradesh,,,1,0.0983,22.9387,42.833,21.4781,6.5851,2019-01-01,2021-12-31
IND,FALSE,FALSE,Uttarakhand,,,1,0.1818,39.2942,46.279,21.0565,15.0077,2005-01-01,2006-12-31
IND,FALSE,FALSE,Uttarakhand,,,1,0.0719,17.2125,41.7477,19.4276,3.9146,2015-01-01,2016-12-31
IND,FALSE,FALSE,Uttarakhand,,,1,0.0391,9.811,39.8766,16.1711,1.5089,2019-01-01,2021-12-31
IND,FALSE,FALSE,West Bengal,,,1,0.3019,57.9645,52.0805,16.3538,31.0786,2005-01-01,2006-12-31
IND,FALSE,FALSE,West Bengal,,,1,0.1097,26.1638,41.9144,19.8294,7.0784,2015-01-01,2016-12-31
IND,FALSE,FALSE,West Bengal,,,1,0.0607,15.2707,39.7277,20.2134,2.8258,2019-01-01,2021-12-31
